#EPIC-ID, Proper Motion since J2000 [arcsec]
249681555, 39.809
249591794, 26.886
249619926, 20.696
250097780, 17.654
249432782, 17.436
250097939, 16.853
249914869, 15.916
250111823, 13.553
249245498, 13.042
249480967, 12.875
249545820, 12.749
250178571, 11.383
250150395, 10.410
249424000, 10.274
249643395, 10.108
204430708, 9.979
249377981, 8.999
249124909, 8.590
249543361, 8.090
249397051, 7.870
249396615, 7.556
250104361, 7.225
249176194, 7.176
249860217, 6.671
204871049, 6.381
250117157, 6.364
249558084, 6.357
249476366, 6.302
249476249, 6.194
249343675, 6.116
249390304, 6.086
249332907, 6.086
249186244, 5.996
249999730, 5.759
204538608, 5.745
249799186, 5.745
250022000, 5.734
204538021, 5.683
249713252, 5.681
250021843, 5.672
249675158, 5.628
249676657, 5.594
250122612, 5.586
249338840, 5.430
249611607, 5.428
250072828, 5.363
251668187, 5.091
250172323, 5.038
249946174, 5.027
249361480, 4.972
250073786, 4.970
249404825, 4.944
249458422, 4.887
249649841, 4.867
249446503, 4.848
249778824, 4.781
249123358, 4.777
204225145, 4.748
249461419, 4.679
249931558, 4.641
249594037, 4.627
250155735, 4.609
249588940, 4.563
249358405, 4.560
249208776, 4.483
250098882, 4.480
249282674, 4.469
249358436, 4.375
250126849, 4.370
249558086, 4.352
204495755, 4.327
249943766, 4.300
249328859, 4.299
249631455, 4.293
249881224, 4.291
249567121, 4.254
250010945, 4.237
249891851, 4.208
204324250, 4.204
249878577, 4.202
249811705, 4.164
249903099, 4.158
249584478, 4.150
249458343, 4.145
249907358, 4.122
249613779, 4.116
249640739, 4.106
249149343, 4.101
249258172, 4.035
249806673, 4.003
249352866, 4.001
249642363, 4.000
249580362, 3.996
